"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2026","1,369.670","1,370.900","1,374.065","1,366.975","","-0.16%"
"29/05/2026","1,371.885","1,374.000","1,375.110","1,369.470","","-0.14%"
"28/05/2026","1,373.810","1,374.930","1,376.120","1,372.875","","-0.03%"
"27/05/2026","1,374.160","1,372.290","1,376.435","1,372.290","","0.01%"
"26/05/2026","1,374.020","1,371.330","1,375.845","1,370.550","","0.20%"
"25/05/2026","1,371.330","1,370.500","1,376.810","1,367.500","","-0.08%"
"22/05/2026","1,372.410","1,371.480","1,374.465","1,369.110","","0.17%"
"21/05/2026","1,370.090","1,371.000","1,373.405","1,368.670","","-0.21%"
"20/05/2026","1,372.905","1,372.000","1,374.860","1,360.000","","0.07%"
"19/05/2026","1,372.000","1,371.890","1,374.270","1,369.900","","0.07%"
"18/05/2026","1,371.020","1,368.250","1,373.950","1,368.020","","0.04%"
"15/05/2026","1,370.470","1,368.830","1,373.235","1,367.515","","0.09%"
"14/05/2026","1,369.245","1,368.840","1,372.090","1,366.770","","-0.12%"
"13/05/2026","1,370.830","1,371.905","1,375.305","1,368.165","","-0.08%"
"12/05/2026","1,371.910","1,368.000","1,374.500","1,363.465","","0.23%"
"11/05/2026","1,368.780","1,359.500","1,373.505","1,356.230","","0.68%"
"08/05/2026","1,359.480","1,358.885","1,361.905","1,355.130","","0.04%"
"07/05/2026","1,358.875","1,360.420","1,364.250","1,354.080","","0.10%"
"06/05/2026","1,357.550","1,368.135","1,368.305","1,357.085","","-0.82%"
"05/05/2026","1,368.750","1,370.360","1,375.140","1,364.250","","-0.12%"
"04/05/2026","1,370.360","1,372.420","1,377.540","1,369.645","","-0.41%"
"01/05/2026","1,375.960","1,375.175","1,377.230","1,372.415","","0.02%"
"30/04/2026","1,375.735","1,375.815","1,380.355","1,370.055","","-0.03%"
"29/04/2026","1,376.130","1,372.420","1,383.600","1,370.695","","-0.03%"
"28/04/2026","1,376.555","1,362.130","1,380.115","1,357.480","","0.96%"
"27/04/2026","1,363.465","1,353.780","1,365.885","1,352.375","","0.44%"
"24/04/2026","1,357.490","1,352.410","1,359.060","1,350.140","","0.54%"
"23/04/2026","1,350.140","1,347.570","1,354.515","1,344.890","","0.19%"
"22/04/2026","1,347.520","1,345.600","1,351.270","1,341.560","","0.00%"
"21/04/2026","1,347.520","1,341.560","1,350.760","1,341.560","","0.09%"
"20/04/2026","1,346.320","1,345.500","1,348.640","1,340.875","","0.24%"
"17/04/2026","1,343.040","1,340.260","1,345.700","1,339.280","","0.12%"
"16/04/2026","1,341.485","1,342.685","1,344.950","1,339.840","","-0.11%"
"15/04/2026","1,342.940","1,349.955","1,352.000","1,342.240","","-0.51%"
"14/04/2026","1,349.865","1,356.120","1,361.580","1,344.710","","-0.69%"
"13/04/2026","1,359.200","1,359.000","1,375.930","1,337.500","","0.00%"
"10/04/2026","1,359.200","1,361.430","1,364.950","1,356.645","","-0.16%"
"09/04/2026","1,361.440","1,374.690","1,379.690","1,358.860","","-1.09%"
"08/04/2026","1,376.395","1,383.170","1,388.500","1,371.115","","-0.49%"
"07/04/2026","1,383.170","1,379.335","1,386.195","1,378.455","","0.28%"
"06/04/2026","1,379.335","1,378.000","1,383.350","1,377.825","","0.05%"
"03/04/2026","1,378.650","1,378.910","1,381.855","1,377.825","","-0.17%"
"02/04/2026","1,380.935","1,378.420","1,383.100","1,375.960","","0.11%"
"01/04/2026","1,379.430","1,385.540","1,387.070","1,377.960","","-0.51%"
"31/03/2026","1,386.460","1,384.095","1,388.035","1,381.400","","0.09%"
"30/03/2026","1,385.150","1,380.500","1,386.475","1,378.500","","0.13%"
"27/03/2026","1,383.295","1,384.420","1,388.335","1,379.970","","-0.08%"
"26/03/2026","1,384.420","1,386.120","1,390.145","1,381.870","","-0.12%"
"25/03/2026","1,386.105","1,380.940","1,387.115","1,375.170","","0.42%"
"24/03/2026","1,380.320","1,362.220","1,385.295","1,362.220","","0.06%"
"23/03/2026","1,379.550","1,354.500","1,385.375","1,352.910","","1.74%"
"20/03/2026","1,356.005","1,359.000","1,362.000","1,352.880","","-0.15%"
"19/03/2026","1,358.000","1,355.430","1,363.500","1,353.465","","0.15%"
"18/03/2026","1,356.000","1,351.755","1,359.190","1,349.340","","0.31%"
"17/03/2026","1,351.750","1,371.690","1,372.720","1,347.990","","-0.96%"
"16/03/2026","1,364.875","1,385.500","1,388.690","1,362.160","","-1.45%"
"13/03/2026","1,385.005","1,390.150","1,398.750","1,373.145","","-0.42%"
"12/03/2026","1,390.780","1,390.050","1,399.500","1,383.900","","-0.23%"
"11/03/2026","1,394.000","1,398.250","1,399.500","1,384.670","","-0.14%"
"10/03/2026","1,396.000","1,398.410","1,403.085","1,393.920","","-0.18%"
"09/03/2026","1,398.500","1,388.490","1,418.920","1,388.000","","0.58%"
"06/03/2026","1,390.480","1,384.970","1,416.750","1,384.520","","0.26%"
"05/03/2026","1,386.940","1,383.880","1,389.380","1,382.080","","0.21%"
"04/03/2026","1,384.010","1,380.090","1,388.140","1,377.180","","0.27%"
"03/03/2026","1,380.270","1,371.630","1,387.260","1,366.025","","0.68%"
"02/03/2026","1,370.980","1,359.500","1,373.575","1,357.500","","0.67%"
"27/02/2026","1,361.880","1,356.575","1,364.690","1,353.490","","0.40%"
"26/02/2026","1,356.500","1,355.035","1,358.510","1,348.500","","0.06%"
"25/02/2026","1,355.630","1,351.885","1,357.380","1,343.570","","0.34%"
"24/02/2026","1,351.000","1,345.400","1,355.840","1,344.990","","0.36%"
"23/02/2026","1,346.165","1,343.360","1,350.735","1,339.155","","0.13%"
"20/02/2026","1,344.475","1,341.140","1,347.320","1,339.595","","0.04%"
"19/02/2026","1,343.875","1,338.470","1,346.625","1,337.650","","0.33%"
"18/02/2026","1,339.500","1,345.710","1,345.710","1,335.000","","-0.46%"
"17/02/2026","1,345.710","1,348.730","1,355.190","1,334.045","","-0.22%"
"16/02/2026","1,348.730","1,353.000","1,355.880","1,347.180","","-0.41%"
"13/02/2026","1,354.290","1,354.710","1,357.305","1,349.825","","0.12%"
"12/02/2026","1,352.675","1,351.260","1,356.020","1,348.795","","0.10%"
"11/02/2026","1,351.260","1,355.740","1,362.780","1,347.390","","-0.39%"
"10/02/2026","1,356.490","1,361.190","1,363.930","1,348.720","","-0.51%"
"09/02/2026","1,363.500","1,363.860","1,366.045","1,355.515","","-0.25%"
"06/02/2026","1,366.965","1,367.870","1,370.095","1,361.930","","0.19%"
